Title;Abstract;label_included
Machine Learning and Nomogram Prognostic Modeling for 2-Year Head and Neck Cancer-Specific Survival Using Electronic Health Record Data: A Multisite Study.;PURPOSE: There is limited knowledge of the prediction of 2-year cancer-specific survival (CSS) in the head and neck cancer (HNC) population. The aim of this study is to develop and validate machine learning models and a nomogram for the prediction of 2-year CSS in patients with HNC using real-world data collected by major teaching and tertiary referral hospitals in New South Wales (NSW), Australia. MATERIALS AND METHODS: Data collected in oncology information systems at multiple NSW Cancer Centres were extracted for 2,953 eligible adults diagnosed between 2000 and 2017 with squamous cell carcinoma of the head and neck. Death data were sourced from the National Death Index using record linkage. Machine learning and Cox regression/nomogram models were developed and internally validated in Python and R, respectively. RESULTS: Machine learning models demonstrated highest performance (C-index) in the larynx and nasopharynx cohorts (0.82), followed by the oropharynx (0.79) and the hypopharynx and oral cavity cohorts (0.73). In the whole HNC population, C-indexes of 0.79 and 0.70 and Brier scores of 0.10 and 0.27 were reported for the machine learning and nomogram model, respectively. Cox regression analysis identified age, T and N classification, and time-corrected biologic equivalent dose in two gray fractions as independent prognostic factors for 2-year CSS. N classification was the most important feature used for prediction in the machine learning model followed by age. CONCLUSION: Machine learning and nomogram analysis predicted 2-year CSS with high performance using routinely collected and complete clinical information extracted from oncology information systems. These models function as visual decision-making tools to guide radiotherapy treatment decisions and provide insight into the prediction of survival outcomes in patients with HNC.;1
Evaluation of the Clinical Utility of the Bone Metastases Ensemble Trees for Survival Decision Support Platform (BMETS-DSP): A Case-Based Pilot Assessment.;PURPOSE: The Bone Metastases Ensemble Trees for Survival Decision Support Platform (BMETS-DSP) provides patient-specific survival predictions and evidence-based recommendations to guide multidisciplinary management for symptomatic bone metastases. We assessed the clinical utility of the BMETS-DSP through a pilot prepost design in a simulated clinical environment. METHODS: Ten Radiation Oncology physicians reviewed 55 patient cases at two time points: without and then with the use of BMETS-DSP. Assessment included 12-month survival estimate, confidence in and likelihood of sharing estimates with patients, and recommendations for open surgery, systemic therapy, hospice referral, and radiotherapy (RT) regimen. Paired statistics compared pre- versus post-DSP outcomes. Reported statistical significance is P < .05. RESULTS: Pre- versus post-DSP, overestimation of true minus estimated survival time was significantly reduced (mean difference -2.1 [standard deviation 4.1] v -1 month [standard deviation 3.5]). Prediction accuracy was significantly improved at cut points of < 3 (72 v 79%), </= 6 (64 v 71%), and >/= 12 months (70 v 81%). Median ratings of confidence in and likelihood of sharing prognosis significantly increased. Significantly greater concordance was seen in matching use of 1-fraction RT with the true survival < 3 months (70 v 76%) and < 10-fraction RT with the true survival < 12 months (55 v 62%) and appropriate use of open surgery (47% v 53%), without significant changes in selection of hospice referral or systemic therapy. CONCLUSION: This pilot study demonstrates that BMETS-DSP significantly improved physician survival estimation accuracy, prognostic confidence, likelihood of sharing prognosis, and use of prognosis-appropriate RT regimens in the care of symptomatic bone metastases, supporting future multi-institutional validation of the platform.;1
Automated clinical decision support system with deep learning dose prediction and NTCP models to evaluate treatment complications in patients with esophageal cancer.;BACKGROUND AND PURPOSE: This study aims to investigate how accurate our deep learning (DL) dose prediction models for intensity modulated radiotherapy (IMRT) and pencil beam scanning (PBS) treatments, when chained with normal tissue complication probability (NTCP) models, are at identifying esophageal cancer patients who are at high risk of toxicity and should be switched to proton therapy (PT). MATERIALS AND METHODS: Two U-Net were created, for photon (XT) and proton (PT) plans, respectively. To estimate the dose distribution for each patient, they were trained on a database of 40 uniformly planned patients using cross validation and a circulating test set. These models were combined with a NTCP model for postoperative pulmonary complications. The NTCP model used the mean lung dose, age, histology type, and body mass index as predicting variables. The treatment choice is then done by using a DeltaNTCP threshold between XT and PT plans. Patients with DeltaNTCP >/= 10% were referred to PT. RESULTS: Our DL models succeed in predicting dose distributions with a mean error on the mean dose to the lungs (MLD) of 1.14 +/- 0.93% for XT and 0.66 +/- 0.48% for PT. The complete automated workflow (DL chained with NTCP) achieved 100% accuracy in patient referral. The average residual (DeltaNTCP ground truth - DeltaNTCP predicted) is 1.43 +/- 1.49%. CONCLUSION: This study evaluates our DL dose prediction models in a broader patient referral context and demonstrates their ability to support clinical decisions.;1
Infrastructure platform for privacy-preserving distributed machine learning development of computer-assisted theragnostics in cancer.;INTRODUCTION: Emerging evidence suggests that data-driven support tools have found their way into clinical decision-making in a number of areas, including cancer care. Improving them and widening their scope of availability in various differing clinical scenarios, including for prognostic models derived from retrospective data, requires co-ordinated data sharing between clinical centres, secondary analyses of large multi-institutional clinical trial data, or distributed (federated) learning infrastructures. A systematic approach to utilizing routinely collected data across cancer care clinics remains a significant challenge due to privacy, administrative and political barriers. METHODS: An information technology infrastructure and web service software was developed and implemented which uses machine learning to construct clinical decision support systems in a privacy-preserving manner across datasets geographically distributed in different hospitals. The infrastructure was deployed in a network of Australian hospitals. A harmonized, international ontology-linked, set of lung cancer databases were built with the routine clinical and imaging data at each centre. The infrastructure was demonstrated with the development of logistic regression models to predict major cardiovascular events following radiation therapy. RESULTS: The infrastructure implemented forms the basis of the Australian computer-assisted theragnostics (AusCAT) network for radiation oncology data extraction, reporting and distributed learning. Four radiation oncology departments (across seven hospitals) in New South Wales (NSW) participated in this demonstration study. Infrastructure was deployed at each centre and used to develop a model predicting for cardiovascular admission within a year of receiving curative radiotherapy for non-small cell lung cancer. A total of 10,417 lung cancer patients were identified with 802 being eligible for the model. Twenty features were chosen for analysis from the clinical record and linked registries. After selection, 8 features were included and a logistic regression model achieved an area under the receiver operating characteristic (AUROC) curve of 0.70 and C-index of 0.65 on out-of-sample data. CONCLUSION: The infrastructure developed was demonstrated to be usable in practice between clinical centres to harmonize routinely collected oncology data and develop models with federated learning. It provides a promising approach to enable further research studies in radiation oncology using real world clinical data.;1
Applying Artificial Neural Networks to Develop a Decision Support Tool for Tis-4N0M0 Non-Small-Cell Lung Cancer Treated With Stereotactic Body Radiotherapy.;PURPOSE: Clear evidence indicating whether surgery or stereotactic body radiation therapy (SBRT) is best for non-small-cell lung cancer (NSCLC) is lacking. SBRT has many advantages. We used artificial neural networks (NNs) to predict treatment outcomes for patients with NSCLC receiving SBRT, aiming to aid in decision making. PATIENTS AND METHODS: Among consecutive patients receiving SBRT between 2005 and 2019 in our institution, we retrospectively identified those with Tis-T4N0M0 NSCLC. We constructed two NNs for prediction of overall survival (OS) and cancer progression in the first 5 years after SBRT, which were tested using an internal and an external test data set. We performed risk group stratification, wherein 5-year OS and cancer progression were stratified into three groups. RESULTS: In total, 692 patients in our institution and 100 patients randomly chosen in the external institution were enrolled. The NNs resulted in concordance indexes for OS of 0.76 (95% CI, 0.73 to 0.79), 0.68 (95% CI, 0.60 to 0.75), and 0.69 (95% CI, 0.61 to 0.76) and area under the curve for cancer progression of 0.80 (95% CI, 0.75 to 0.84), 0.72 (95% CI, 0.60 to 0.83), and 0.70 (95% CI, 0.57 to 0.81) in the training, internal test, and external test data sets, respectively. The survival and cumulative incidence curves were significantly stratified. NNs selected low-risk cancer progression groups of 5.6%, 6.9%, and 7.0% in the training, internal test, and external test data sets, respectively, suggesting that 48% of patients with peripheral Tis-4N0M0 NSCLC can be at low-risk for cancer progression. CONCLUSION: Predictions of SBRT outcomes using NNs were useful for Tis-4N0M0 NSCLC. Our results are anticipated to open new avenues for NN predictions and provide decision-making guidance for patients and physicians.;1
Validation and extension of the METSSS score in a metastatic cancer patient cohort after palliative radiotherapy within the last phase of life.;"INTRODUCTION AND BACKGROUND: Choosing the right treatment for the right patient in a setting of metastatic cancer disease remains a challenge. To facilitate clinical decision-making, predictive tools have been developed to personalize treatment. Here, we aim to assess the use of the recently proposed ""METSSS score"" as a prognostic tool for overall survival of cancer patients after palliative radiotherapy in the last phase of life. METHODS: All patients treated with palliative radiotherapy at the end-of-life at the Department of Radiation Oncology of the University Hospital Zurich between January 2010 and December 2019 were included in this study. Data on demographics, diagnosis, treatment and comorbidities was extracted from the treatment planning and the electronical medical records system. To statistically assess the validity of the ""METSSS score"", the mortality risk score was calculated, followed by stratification of all patients to prognostic risk groups. The prediction of the 1-year overall survival estimates was subsequently calculated. RESULTS: Over the past decade, 274 patients have received palliative radiotherapy during the end-of-life period. One third of patients was female (34%, n = 93). The most frequent primary tumor was lung cancer (n = 121, 44%), and 55% of patients (n = 152) had no comorbidities according to the Charlson-Deyo comorbidity index. The most common radiotherapy site was the brain and eye region (42%, n = 115). The median actual overall survival of all patients was 40 days from the start of radiotherapy. The ""METSSS score"" survival model predicted that 269 patients (98.1%) belong into the high-risk, four patients (1.5%) into the medium-risk, and one patient (0.4%) into the low-risk group. The predicted median 1-year overall survival was 10%. DISCUSSION: The METSSS score correctly predicted the survival of our end-of-life patient cohort by assigning them into the highest risk category, and it can therefore serve as a decision-making tool when assigning patient to symptomatic radiotherapy.";1
Artificial Intelligence-Guided Prediction of Dental Doses Before Planning of Radiation Therapy for Oropharyngeal Cancer: Technical Development and Initial Feasibility of Implementation.;"PURPOSE: The aim was to develop a novel artificial intelligence (AI)-guided clinical decision support system, to predict radiation doses to subsites of the mandible using diagnostic computed tomography scans acquired before any planning of head and neck radiation therapy (RT). METHODS AND MATERIALS: A dose classifier was trained using RT plans from 86 patients with oropharyngeal cancer; the test set consisted of an additional 20 plans. The classifier was trained to predict whether mandible subsites would receive a mean dose >50 Gy. The AI predictions were prospectively evaluated and compared with those of a specialist head and neck radiation oncologist for 9 patients. Positive predictive value (PPV), negative predictive value (NPV), Pearson correlation coefficient, and Lin concordance correlation coefficient were calculated to compare the AI predictions to those of the physician. RESULTS: In the test data set, the AI predictions had a PPV of 0.95 and NPV of 0.88. For 9 patients evaluated prospectively, there was a strong correlation between the predictions of the AI algorithm and physician (P = .72, P < .001). Comparing the AI algorithm versus the physician, the PPVs were 0.82 versus 0.25, and the NPVs were 0.94 versus 1.0, respectively. Concordance between physician estimates and final planned doses was 0.62; this was 0.71 between AI-based estimates and final planned doses. CONCLUSION: AI-guided decision support increased precision and accuracy of pre-RT dental dose estimates.";1
Multitask Learning Radiomics on Longitudinal Imaging to Predict Survival Outcomes following Risk-Adaptive Chemoradiation for Non-Small Cell Lung Cancer.;Medical imaging provides quantitative and spatial information to evaluate treatment response in the management of patients with non-small cell lung cancer (NSCLC). High throughput extraction of radiomic features on these images can potentially phenotype tumors non-invasively and support risk stratification based on survival outcome prediction. The prognostic value of radiomics from different imaging modalities and time points prior to and during chemoradiation therapy of NSCLC, relative to conventional imaging biomarker or delta radiomics models, remains uncharacterized. We investigated the utility of multitask learning of multi-time point radiomic features, as opposed to single-task learning, for improving survival outcome prediction relative to conventional clinical imaging feature model benchmarks. Survival outcomes were prospectively collected for 45 patients with unresectable NSCLC enrolled on the FLARE-RT phase II trial of risk-adaptive chemoradiation and optional consolidation PD-L1 checkpoint blockade (NCT02773238). FDG-PET, CT, and perfusion SPECT imaging pretreatment and week 3 mid-treatment was performed and 110 IBSI-compliant pyradiomics shape-/intensity-/texture-based features from the metabolic tumor volume were extracted. Outcome modeling consisted of a fused Laplacian sparse group LASSO with component-wise gradient boosting survival regression in a multitask learning framework. Testing performance under stratified 10-fold cross-validation was evaluated for multitask learning radiomics of different imaging modalities and time points. Multitask learning models were benchmarked against conventional clinical imaging and delta radiomics models and evaluated with the concordance index (c-index) and index of prediction accuracy (IPA). FDG-PET radiomics had higher prognostic value for overall survival in test folds (c-index 0.71 [0.67, 0.75]) than CT radiomics (c-index 0.64 [0.60, 0.71]) or perfusion SPECT radiomics (c-index 0.60 [0.57, 0.63]). Multitask learning of pre-/mid-treatment FDG-PET radiomics (c-index 0.71 [0.67, 0.75]) outperformed benchmark clinical imaging (c-index 0.65 [0.59, 0.71]) and FDG-PET delta radiomics (c-index 0.52 [0.48, 0.58]) models. Similarly, the IPA for multitask learning FDG-PET radiomics (30%) was higher than clinical imaging (26%) and delta radiomics (15%) models. Radiomics models performed consistently under different voxel resampling conditions. Multitask learning radiomics for outcome modeling provides a clinical decision support platform that leverages longitudinal imaging information. This framework can reveal the relative importance of different imaging modalities and time points when designing risk-adaptive cancer treatment strategies.;1
Neural network dose prediction for rectal spacer stratification in dose-escalated prostate radiotherapy.;PURPOSE: To develop a knowledge-based decision-support system capable of stratifying patients for rectal spacer (RS) insertion based on neural network predicted rectal dose, reducing the need for time- and resource-intensive radiotherapy (RT) planning. METHODS: Forty-four patients treated for prostate cancer were enrolled into a clinical trial (NCT03238170). Dose-escalated prostate RT plans were manually created for 30 patients with simulated boost volumes using a conventional treatment planning system (TPS) and used to train a hierarchically dense 3D convolutional neural network to rapidly predict RT dose distributions. The network was used to predict rectal doses for 14 unseen test patients, with associated toxicity risks calculated according to published data. All metrics obtained using the network were compared to conventionally planned values. RESULTS: The neural network stratified patients with an accuracy of 100% based on optimal rectal dose-volume histogram constraints and 78.6% based on mandatory constraints. The network predicted dose-derived grade 2 rectal bleeding risk within 95% confidence limits of -1.9% to +1.7% of conventional risk estimates (risk range 3.5%-9.9%) and late grade 2 fecal incontinence risk within -0.8% to +1.5% (risk range 2.3%-5.7%). Prediction of high-resolution 3D dose distributions took 0.7 s. CONCLUSIONS: The feasibility of using a neural network to provide rapid decision support for RS insertion prior to RT has been demonstrated, and the potential for time and resource savings highlighted. Directly after target and healthy tissue delineation, the network is able to (i) risk stratify most patients with a high degree of accuracy to prioritize which patients would likely derive greatest benefit from RS insertion and (ii) identify patients close to the stratification threshold who would require conventional planning.;1
Quantum deep reinforcement learning for clinical decision support in oncology: application to adaptive radiotherapy.;Subtle differences in a patient's genetics and physiology may alter radiotherapy (RT) treatment responses, motivating the need for a more personalized treatment plan. Accordingly, we have developed a novel quantum deep reinforcement learning (qDRL) framework for clinical decision support that can estimate an individual patient's dose response mid-treatment and recommend an optimal dose adjustment. Our framework considers patients' specific information including biological, physical, genetic, clinical, and dosimetric factors. Recognizing that physicians must make decisions amidst uncertainty in RT treatment outcomes, we employed indeterministic quantum states to represent human decision making in a real-life scenario. We paired quantum decision states with a model-based deep q-learning algorithm to optimize the clinical decision-making process in RT. We trained our proposed qDRL framework on an institutional dataset of 67 stage III non-small cell lung cancer (NSCLC) patients treated on prospective adaptive protocols and independently validated our framework in an external multi-institutional dataset of 174 NSCLC patients. For a comprehensive evaluation, we compared three frameworks: DRL, qDRL trained in a Qiskit quantum computing simulator, and qDRL trained in an IBM quantum computer. Two metrics were considered to evaluate our framework: (1) similarity score, defined as the root mean square error between retrospective clinical decisions and the AI recommendations, and (2) self-evaluation scheme that compares retrospective clinical decisions and AI recommendations based on the improvement in the observed clinical outcomes. Our analysis shows that our framework, which takes into consideration individual patient dose response in its decision-making, can potentially improve clinical RT decision-making by at least about 10% compared to unaided clinical practice. Further validation of our novel quantitative approach in a prospective study will provide a necessary framework for improving the standard of care in personalized RT.;1
